First Name,Last Name,Age,Nationality,Height,Weight,Team Name,League,Appearances,Lineups,Minutes,Number,Position,Rating,Captain,In,Out,Bench,Total Shots,On Target Shots,Total Goals,Conceded Goals,Assists,Saves,Total Passes,Key Passes,Pass Accuracy,Total Tackles,Blocks,Interceptions,Total Duels,Duels Won,Dribble Attempts,Dribble Success,Past Dribbles,Fouls Drawn,Fouls Committed,Yellow Cards,Red Cards,Penalties Won,Penalties Committed,Penalties Scored,Penalties Missed,Penalties Saved
Mohamed,Salah Hamed Mahrous Ghaly,31.0,Egypt,175 cm,71 kg,Liverpool,Premier League,38,37,3297,,Attacker,7.118421,0.0,1,8,1,97.0,47.0,19,0.0,12.0,,1120.0,66.0,23.0,21.0,,6.0,324.0,111.0,121.0,49.0,,33.0,20.0,2,0,,,2.0,2.0,
Thiago,Alcântara do Nascimento,32.0,Spain,174 cm,70 kg,Liverpool,Premier League,18,14,1254,,Midfielder,7.033333,0.0,4,5,4,3.0,1.0,0,0.0,,,1085.0,17.0,52.0,43.0,3.0,21.0,175.0,99.0,21.0,17.0,,25.0,18.0,2,0,,,0.0,0.0,
Robin Patrick,Olsen,33.0,Sweden,198 cm,89 kg,Aston Villa,Premier League,4,2,279,,Goalkeeper,6.550000,0.0,2,0,2,,,0,8.0,,11.0,111.0,,14.0,,,,2.0,,,,,,,0,0,,,0.0,0.0,0.0
Ibrahima,Konaté,24.0,France,194 cm,95 kg,Liverpool,Premier League,18,17,1551,,Defender,6.833333,0.0,1,0,1,6.0,3.0,0,0.0,,,1130.0,1.0,54.0,38.0,5.0,26.0,168.0,108.0,11.0,9.0,,15.0,29.0,5,0,,,0.0,0.0,
Konstantinos,Tsimikas,27.0,Greece,179 cm,77 kg,Liverpool,Premier League,20,9,768,,Defender,6.836842,0.0,11,7,11,3.0,2.0,0,0.0,4.0,,444.0,18.0,19.0,14.0,1.0,12.0,75.0,34.0,12.0,4.0,,9.0,13.0,3,0,,,0.0,0.0,
Diogo José,Teixeira da Silva,27.0,Portugal,178 cm,68 kg,Liverpool,Premier League,22,12,1131,,Attacker,6.804545,0.0,10,10,10,27.0,11.0,7,0.0,4.0,,373.0,17.0,12.0,23.0,,3.0,180.0,70.0,35.0,14.0,,15.0,19.0,2,0,,,0.0,0.0,
Alexis,Mac Allister,25.0,Argentina,176 cm,69 kg,Brighton,Premier League,35,31,2886,,Midfielder,7.194285,0.0,4,4,4,66.0,34.0,10,0.0,2.0,,1803.0,47.0,44.0,70.0,2.0,22.0,331.0,191.0,60.0,39.0,,57.0,35.0,8,0,,,6.0,0.0,
Harvey Daniel James,Elliott,20.0,England,170 cm,64 kg,Liverpool,Premier League,32,18,1613,,Midfielder,6.786666,0.0,14,14,14,22.0,12.0,1,0.0,2.0,,957.0,27.0,25.0,27.0,1.0,15.0,167.0,74.0,33.0,18.0,,25.0,14.0,2,0,,,0.0,0.0,
Damián Emiliano,Martínez Romero,31.0,Argentina,195 cm,88 kg,Aston Villa,Premier League,36,36,3141,,Goalkeeper,7.002777,0.0,0,2,0,,,0,38.0,,98.0,1247.0,2.0,24.0,,,1.0,22.0,19.0,,,,6.0,1.0,7,0,,,0.0,0.0,0.0
Darwin Gabriel,Núñez Ribeiro,24.0,Uruguay,187 cm,81 kg,Liverpool,Premier League,29,19,1699,,Attacker,6.885714,0.0,10,13,10,71.0,37.0,9,0.0,3.0,,371.0,28.0,8.0,11.0,,3.0,212.0,81.0,36.0,17.0,,17.0,25.0,1,1,,,0.0,0.0,
Jarell,Amorin Quansah,20.0,England,,,Liverpool,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Luke,Chambers,19.0,England,,,Liverpool,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Stefan,Bajčetić Maquieira,19.0,Spain,185 cm,77 kg,Liverpool,Premier League,11,6,527,,Midfielder,6.654545,0.0,5,6,5,4.0,3.0,1,0.0,,,253.0,4.0,18.0,9.0,,9.0,75.0,34.0,11.0,7.0,,9.0,7.0,2,0,,,0.0,0.0,
Bobby Lamont,Clark,18.0,England,178 cm,,Liverpool,Premier League,1,0,7,,Midfielder,6.300000,0.0,1,0,1,,,0,0.0,,,1.0,,1.0,,,,2.0,,1.0,,,,1.0,0,0,,,0.0,0.0,
Ben,Gannon Doak,18.0,Scotland,,,Liverpool,Premier League,2,0,24,,Attacker,6.300000,0.0,2,0,2,,,0,0.0,,,14.0,,5.0,3.0,,,8.0,4.0,4.0,,,1.0,1.0,0,0,,,0.0,0.0,
Manuel Obafemi,Akanji,28.0,Switzerland,186 cm,91 kg,Manchester City,Premier League,29,24,2284,,Defender,7.314285,0.0,10,11,5,10.0,3.0,0,0,1.0,,2021.0,7.0,65.0,36.0,9.0,33.0,154.0,77.0,9.0,6.0,,12.0,24.0,2,0,,,0.0,0,
Sergio,Gómez Martín,23.0,Spain,171 cm,68 kg,Manchester City,Premier League,12,2,340,,Midfielder,6.700000,0.0,2,0,2,6.0,,2,0,1.0,,2976.0,33.0,21.0,9.0,3.0,,34.0,14.0,3.0,25.0,,2.0,,5,0,,,0.0,0,
Rodrigo,Hernández Cascante,27.0,Spain,190 cm,82 kg,Manchester City,Premier League,37,37,2920,,Midfielder,6.857142,0.0,0,0,0,33.0,,0,0,6.0,108.0,1321.0,1.0,27.0,67.0,14.0,,314.0,184.0,33.0,2.0,,20.0,13.0,1,0,,,0.0,0,1.0
Alisson Ramsés,Becker,31.0,Brazil,193 cm,91 kg,Liverpool,Premier League,21,1,90,,Goalkeeper,7.112500,0.0,6,0,0,,2.0,0,43,1.0,6.0,2581.0,3.0,16.0,,,24.0,23.0,18.0,2.0,,,5.0,13.0,0,0,,,0.0,0,1.0
Caoimhín Odhrán,Kelleher,25.0,Republic of Ireland,188 cm,74 kg,Liverpool,Premier League,26,32,2836,,Goalkeeper,7.768750,0.0,0,1,6,5.0,10.0,0,4,,,2071.0,99.0,73.0,,11.0,18.0,186.0,82.0,,4.0,,,19.0,3,0,,,0.0,0,
Joseph Dave,Gomez,26.0,England,188 cm,77 kg,Manchester City,Premier League,32,22,1997,,Defender,7.196875,0.0,4,3,0,23.0,2.0,0,0,1.0,,1357.0,44.0,80.0,28.0,13.0,5.0,138.0,129.0,1.0,1.0,,4.0,20.0,3,0,,,0.0,0,
Virgil,van Dijk,32.0,Netherlands,195 cm,92 kg,Manchester City,Premier League,32,28,2425,,Defender,7.196875,0.0,10,12,4,7.0,21.0,7,0,,,1003.0,44.0,34.0,27.0,2.0,16.0,205.0,100.0,9.0,8.0,,3.0,10.0,3,0,,,0.0,0,
Rúben,dos Santos Gato Alves Dias,26.0,Portugal,186 cm,76 kg,Manchester City,Premier League,34,22,1844,,Midfielder,6.894117,0.0,10,11,4,44.0,10.0,4,0,16.0,,1418.0,32.0,27.0,28.0,2.0,3.0,209.0,104.0,49.0,30.0,,7.0,31.0,1,0,,,0.0,0,
Kevin,De Bruyne,32.0,Belgium,181 cm,68 kg,Manchester City,Premier League,35,24,2203,,Midfielder,6.873333,0.0,18,8,10,33.0,60.0,36,0,5.0,,479.0,30.0,27.0,16.0,6.0,2.0,209.0,89.0,70.0,40.0,,29.0,31.0,5,0,,,0.0,0,
Philip Walter,Foden,23.0,England,171 cm,70 kg,Manchester City,Premier League,26,33,2779,,Midfielder,,0.0,4,12,10,15.0,22.0,9,0,5.0,,469.0,18.0,37.0,26.0,4.0,,215.0,88.0,70.0,40.0,,15.0,21.0,5,0,,,0.0,0,
Bernardo,Mota Veiga de Carvalho e Silva,29.0,Portugal,173 cm,64 kg,Manchester City,Premier League,26,13,1451,,Midfielder,7.000000,0.0,4,5,2,34.0,,1,0,8.0,,,,13.0,26.0,,20.0,,69.0,29.0,11.0,,14.0,,0,0,,,7.0,0,
Erling,Braut Haaland,23.0,Norway,194 cm,88 kg,Liverpool,Premier League,26,0,0,,Attacker,7.000000,0.0,4,0,4,,2.0,1,0,,,1705.0,9.0,,26.0,10.0,20.0,118.0,79.0,35.0,21.0,,14.0,12.0,2,0,,,0.0,0,
Julián,Álvarez,23.0,Argentina,170 cm,71 kg,Manchester City,Premier League,26,22,1875,,Goalkeeper,7.000000,0.0,4,6,4,7.0,2.0,1,0,,,1705.0,9.0,62.0,26.0,10.0,20.0,118.0,79.0,4.0,3.0,,14.0,12.0,2,0,,,0.0,0,
Adrián,San Miguel del Castillo,36.0,Spain,190 cm,80 kg,Manchester City,Premier League,26,22,1875,,Defender,7.000000,0.0,4,6,4,7.0,2.0,1,0,,,1705.0,9.0,62.0,26.0,10.0,20.0,118.0,79.0,4.0,3.0,,14.0,12.0,2,0,,,0.0,0,
Nathan Benjamin,Aké,28.0,Netherlands,180 cm,75 kg,Manchester City,Premier League,12,22,1875,,Defender,6.733333,0.0,10,6,4,7.0,2.0,1,0,,,1705.0,9.0,62.0,26.0,10.0,5.0,34.0,14.0,4.0,3.0,,2.0,12.0,2,0,,,0.0,0,
Kalvin Mark,Phillips,28.0,England,178 cm,72 kg,Manchester City,Premier League,12,22,1875,,Defender,6.733333,0.0,10,6,4,4.0,,0,0,,,1705.0,3.0,26.0,6.0,3.0,5.0,34.0,14.0,1.0,3.0,,2.0,10.0,1,0,,,0.0,0,
Scott Paul,Carson,38.0,England,188 cm,85 kg,Manchester City,Premier League,0,2,290,,Midfielder,,0.0,0,6,10,4.0,,0,0,,,312.0,3.0,26.0,6.0,3.0,,,,1.0,1.0,,,10.0,1,0,,,0.0,0,
Matheus Luiz,Nunes,25.0,Portugal,184 cm,78 kg,Manchester City,Premier League,34,30,0,,Goalkeeper,6.755882,0.0,4,0,10,,,0,0,,,312.0,,,,,16.0,347.0,180.0,,,,49.0,,0,0,,,0.0,0,0.0
Oscar,Bobb,20.0,Norway,174 cm,,Wolves,Premier League,0,0,0,,Midfielder,,0.0,0,16,4,,,1,0,,,,,23.0,,4.0,,,,,42.0,,,,2,0,,,,0,
Rico Henry Mark,Lewis,19.0,England,169 cm,,Manchester City,Premier League,14,10,903,,Midfielder,6.850000,0.0,4,4,4,4.0,2.0,0,0,1.0,,638.0,12.0,,16.0,,6.0,79.0,42.0,11.0,,,18.0,10.0,0,1,,,0.0,0,
Thomas,Teye Partey,30.0,Ghana,185 cm,77 kg,Arsenal,Premier League,33,28,2485,,Midfielder,7.106060,0.0,5,7,5,,4.0,3,0,,,1946.0,26.0,51.0,69.0,5.0,1.0,278.0,163.0,42.0,34.0,,23.0,37.0,5,0,,,0,0,0.0
Ederson,Santana de Moraes,30.0,Brazil,188 cm,86 kg,Arsenal,Premier League,35,35,3150,,Attacker,6.685714,0.0,0,0,0,57.0,,0,32,6.0,46.0,1109.0,1.0,26.0,3.0,,11.0,17.0,14.0,,,,3.0,1.0,3,0,,,0,0,
Gabriel Fernando,de Jesus,26.0,Brazil,175 cm,73 kg,Chelsea,Premier League,26,24,2075,,Attacker,7.110000,0.0,2,13,2,62.0,32.0,11,0,2.0,,674.0,32.0,21.0,33.0,3.0,,423.0,176.0,92.0,43.0,,4.0,43.0,6,0,,,1,0,
Reiss Luke,Nelson,24.0,England,175 cm,71 kg,Arsenal,Premier League,35,0,201,,Midfielder,6.837142,0.0,11,0,11,2.0,7.0,3,0,1.0,,108.0,9.0,10.0,4.0,,7.0,43.0,17.0,9.0,7.0,,25.0,8.0,0,0,,,0,0,
Kai Lukas,Havertz,24.0,Germany,193 cm,83 kg,Arsenal,Premier League,12,30,2579,,Midfielder,6.527272,0.0,5,15,5,,33.0,7,0,2.0,,869.0,38.0,20.0,34.0,,,363.0,3.0,56.0,17.0,,,60.0,5,0,,,1,0,
Emile,Smith Rowe,23.0,England,182 cm,79 kg,Arsenal,Premier League,5,0,162,,Midfielder,6.466666,0.0,12,1,12,60.0,1.0,0,0,,,80.0,6.0,6.0,1.0,,,15.0,203.0,5.0,2.0,,1.0,1.0,0,0,,,0,1,
Mohamed Naser,Elsayed Elneny,31.0,Egypt,179 cm,72 kg,Arsenal,Premier League,30,37,109,,Attacker,7.294736,0.0,4,0,1,26.0,32.0,14,0,11.0,,60.0,,19.0,63.0,,14.0,5.0,63.0,,,,65.0,1.0,0,0,,,0,0,
Bukayo Ayoyinka Temidayo,Saka,22.0,England,178 cm,72 kg,Arsenal,Premier League,20,9,3194,,Attacker,6.610714,0.0,1,1,21,13.0,14.0,1,0,1.0,,250.0,9.0,26.0,13.0,,1.0,157.0,45.0,128.0,59.0,,25.0,43.0,6,0,,,2,0,
Edward,Keddar Nketiah,24.0,England,175 cm,72 kg,Brighton,Premier League,16,10,1069,,Attacker,7.020000,0.0,21,9,10,13.0,5.0,7,0,10.0,,389.0,23.0,7.0,12.0,1.0,6.0,99.0,45.0,28.0,15.0,,17.0,30.0,3,0,,,0,0,
Leandro,Trossard,29.0,Belgium,172 cm,61 kg,Arsenal,Premier League,14,16,929,,Attacker,7.020000,0.0,10,11,0,4.0,,0,0,10.0,,389.0,5.0,17.0,12.0,,6.0,99.0,49.0,21.0,15.0,,17.0,9.0,0,0,,,0,0,
Jorge Luiz,Frello Filho,32.0,Italy,180 cm,65 kg,Chelsea,Premier League,18,9,1326,,Midfielder,6.821428,0.0,0,3,5,4.0,,2,0,1.0,,732.0,5.0,17.0,18.0,2.0,9.0,93.0,49.0,8.0,3.0,,18.0,9.0,1,0,,,0,0,
Takehiro,Tomiyasu,25.0,Japan,187 cm,70 kg,Arsenal,Premier League,21,6,853,,Midfielder,6.821428,0.0,5,7,3,1.0,,0,0,1.0,,412.0,4.0,45.0,18.0,2.0,9.0,85.0,48.0,8.0,1.0,,3.0,6.0,4,0,,,0,0,
Declan,Rice,24.0,England,185 cm,84 kg,West Ham,Premier League,37,36,1282,,Defender,6.684210,0.0,3,3,15,26.0,9.0,4,0,2.0,,2083.0,37.0,45.0,79.0,,14.0,278.0,162.0,58.0,35.0,,11.0,6.0,2,0,,,0,1,
Stefan,Ortega Moreno,31.0,Germany,185 cm,88 kg,Manchester City,Premier League,3,3,652,,Midfielder,7.186486,0.0,15,0,1,,,0,0,,14.0,151.0,,17.0,,15.0,63.0,1.0,1.0,,,,,23.0,0,0,,,0,0,0.0
Martin,Ødegaard,25.0,Norway,178 cm,68 kg,Arsenal,Premier League,37,37,3272,,Goalkeeper,7.800000,0.0,1,0,0,60.0,33.0,15,0,7.0,,1689.0,77.0,49.0,36.0,5.0,6.0,280.0,123.0,77.0,48.0,,26.0,,4,0,,,0,0,
Fábio Daniel,Ferreira Vieira,23.0,Portugal,170 cm,58 kg,Arsenal,Premier League,22,3,3149,,Midfielder,7.354054,0.0,0,23,0,9.0,2.0,1,0,2.0,,267.0,12.0,43.0,6.0,,4.0,49.0,20.0,17.0,6.0,,5.0,30.0,0,0,,,0,0,
Jakub Piotr,Kiwior,23.0,Poland,189 cm,75 kg,Arsenal,Premier League,7,5,499,,Midfielder,6.652631,0.0,19,4,19,1.0,1.0,1,0,,,196.0,1.0,38.0,7.0,3.0,6.0,31.0,17.0,1.0,1.0,,1.0,3.0,0,0,,,0,0,
Gabriel Teodoro,Martinelli Silva,22.0,Brazil,178 cm,75 kg,Arsenal,Premier League,36,34,427,,Defender,7.158333,0.0,2,2,2,55.0,32.0,15,0,5.0,,977.0,59.0,10.0,31.0,1.0,9.0,367.0,141.0,114.0,59.0,,37.0,39.0,3,0,,,0,0,
Amario Oswald Gerardo,Cozier-Duberry,18.0,England,,,Arsenal,Premier League,0,0,0,,Midfielder,,0.0,0,18,2,,,0,0,,,,,28.0,,,,,,,,,,,0,0,,,0,0,
Reuell Joshua,Walters,19.0,England,183 cm,,Arsenal,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0,,,,,22.0,,,,,,,,,,,0,0,,,0,0,
Heung-Min,Son,31.0,Korea Republic,184 cm,77 kg,Tottenham,Premier League,36,33,2899,,Attacker,7.072222,0.0,3,14,3,56.0,40.0,10,0.0,6.0,,785.0,63.0,17.0,24.0,2.0,13.0,255.0,101.0,72.0,32.0,,,13.0,2,0,,,0.0,0.0,
Cédric Ricardo,Alves Soares,32.0,Portugal,172 cm,67 kg,Fulham,Premier League,6,2,195,,Defender,6.300000,0.0,4,1,4,,,0,0.0,,,20.0,,18.0,,,,3.0,,,,,,1.0,0,0,,,0.0,0.0,
Ivan,Perišić,34.0,Croatia,186 cm,80 kg,Arsenal,Premier League,2,0,27,,Defender,6.300000,0.0,2,0,2,,,0,0.0,,,20.0,48.0,18.0,,,,3.0,,,,,8.0,1.0,6,0,,,0.0,0.0,
Manor,Solomon,24.0,Israel,170 cm,66 kg,Fulham,Premier League,34,23,2110,,Midfielder,6.902941,0.0,11,13,11,24.0,8.0,1,0.0,8.0,,782.0,6.0,16.0,42.0,7.0,22.0,216.0,100.0,37.0,17.0,,4.0,30.0,0,0,,,0.0,0.0,
Rodrigo,Bentancur Colmán,26.0,Uruguay,187 cm,72 kg,Tottenham,Premier League,19,4,560,,Attacker,6.763157,0.0,15,3,15,9.0,7.0,4,0.0,,,199.0,11.0,40.0,21.0,,5.0,88.0,47.0,34.0,19.0,,8.0,5.0,8,0,,,0.0,,
Giovani,Lo Celso,27.0,Argentina,177 cm,68 kg,Tottenham,Premier League,18,0,1506,,Midfielder,7.227777,0.0,1,7,1,12.0,9.0,5,0.0,2.0,,857.0,,,45.0,,20.0,166.0,88.0,31.0,20.0,,,24.0,0,0,,,,0.0,
Bryan,Gil Salvatierra,22.0,Spain,175 cm,60 kg,Tottenham,Premier League,0,2,0,,Midfielder,,0.0,0,0,0,1.0,,0,0.0,,,57.0,2.0,11.0,,,,20.0,,,,,2.0,,1,0,,,0.0,0.0,
Richarlison,de Andrade,26.0,Brazil,184 cm,83 kg,Tottenham,Premier League,4,12,148,,Attacker,6.550000,0.0,2,2,2,1.0,1.0,0,0.0,1.0,,57.0,2.0,11.0,3.0,1.0,1.0,20.0,7.0,5.0,2.0,,2.0,2.0,1,0,,,0.0,0.0,
James Daniel,Maddison,27.0,England,175 cm,73 kg,Tottenham,Premier League,4,28,1006,,Attacker,6.550000,0.0,2,2,2,22.0,1.0,1,0.0,1.0,,263.0,16.0,7.0,3.0,1.0,1.0,167.0,7.0,30.0,2.0,,22.0,2.0,3,0,,,1.0,1.0,
Yves,Bissouma,27.0,Mali,182 cm,80 kg,Tottenham,Premier League,27,10,2485,,Attacker,6.680769,0.0,15,11,15,53.0,14.0,10,0.0,3.0,,1013.0,8.0,26.0,21.0,6.0,5.0,318.0,72.0,85.0,11.0,,79.0,14.0,10,0,,,0.0,0.0,
Kouassi Ryan,Sessegnon,23.0,England,178 cm,70 kg,Tottenham,Premier League,30,9,811,,Midfielder,7.340000,0.0,2,7,2,4.0,,2,0.0,9.0,,727.0,6.0,31.0,51.0,1.0,13.0,82.0,179.0,9.0,7.0,,10.0,17.0,6,0,,,0.0,0.0,
Benjamin William,White,26.0,England,186 cm,76 kg,Arsenal,Premier League,23,36,3067,,Midfielder,6.594117,0.0,8,6,13,11.0,6.0,2,0.0,,,290.0,27.0,13.0,16.0,11.0,12.0,81.0,39.0,8.0,4.0,,6.0,15.0,4,0,,,0.0,0.0,
Aaron Christopher,Ramsdale,25.0,England,188 cm,88 kg,Arsenal,Premier League,17,38,3420,,Defender,6.907894,0.0,2,15,8,8.0,3.0,0,0.0,,,1951.0,,44.0,60.0,,6.0,249.0,37.0,23.0,8.0,,30.0,,5,0,,,0.0,0.0,0.0
William Alain André Gabriel,Saliba,22.0,France,192 cm,92 kg,Arsenal,Premier League,38,27,2416,,Goalkeeper,6.828947,0.0,0,0,2,6.0,,2,43.0,5.0,95.0,934.0,6.0,62.0,1.0,10.0,22.0,12.0,12.0,1.0,1.0,,4.0,19.0,1,0,,,0.0,0.0,
Gabriel,dos Santos Magalhães,26.0,Brazil,190 cm,78 kg,Arsenal,Premier League,38,38,3411,,Defender,6.970370,0.0,0,2,0,26.0,10.0,3,0.0,1.0,,1864.0,5.0,56.0,48.0,26.0,,179.0,108.0,9.0,8.0,,41.0,26.0,4,0,,,0.0,0.0,
Dejan,Kulusevski,23.0,Sweden,186 cm,80 kg,Tottenham,Premier League,38,23,2079,,Defender,7.015789,0.0,0,19,0,22.0,10.0,2,0.0,7.0,,2396.0,47.0,19.0,38.0,,19.0,305.0,190.0,1.0,50.0,,25.0,36.0,5,0,,,0.0,0.0,
Brennan Price,Johnson,22.0,Wales,186 cm,73 kg,Nottingham Forest,Premier League,38,33,2941,,Midfielder,6.800000,0.0,7,12,0,46.0,27.0,8,0.0,3.0,,441.0,29.0,7.0,34.0,1.0,32.0,287.0,116.0,102.0,31.0,,21.0,37.0,6,0,,,1.0,2.0,
Karl Jakob,Hein,21.0,Estonia,193 cm,86 kg,Arsenal,Premier League,0,0,0,,Goalkeeper,,0.0,5,0,7,,,0,0.0,,,,,,,,,271.0,,,,,,,0,0,,,0.0,0.0,0.0
Pape Matar,Sarr,21.0,Senegal,185 cm,70 kg,Tottenham,Premier League,11,2,211,,Midfielder,6.511111,0.0,0,2,5,2.0,,0,0.0,1.0,,154.0,2.0,14.0,7.0,2.0,6.0,,14.0,2.0,1.0,,3.0,4.0,1,0,,,0.0,0.0,
Jamie,Donley,18.0,England,,,Tottenham,Premier League,0,0,0,,Attacker,,0.0,9,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Hugo Hadrien Dominique,Lloris,37.0,France,188 cm,82 kg,Tottenham,Premier League,25,0,2206,,Goalkeeper,6.788000,0.0,0,1,0,,,0,39.0,,79.0,616.0,,18.0,1.0,,1.0,17.0,120.0,,,,2.0,,0,0,,,0.0,0.0,1.0
Alfie Malik,Whiteman,25.0,England,189 cm,84 kg,Tottenham,Premier League,0,26,2817,,Goalkeeper,,0.0,5,0,0,,,0,,,,,,,,8.0,,,121.0,,5.0,,,,0,0,,,,,
Benjamin Thomas,Davies,30.0,Wales,181 cm,77 kg,Tottenham,Premier League,31,31,1496,,Defender,6.817241,0.0,2,6,5,13.0,5.0,2,0.0,2.0,,1182.0,20.0,31.0,28.0,24.0,18.0,227.0,69.0,12.0,1.0,,17.0,25.0,4,0,,,0.0,0.0,
Eric Jeremy Edgar,Dier,29.0,England,188 cm,83 kg,Tottenham,Premier League,33,18,2664,,Defender,6.851515,0.0,2,10,2,9.0,4.0,2,0.0,1.0,,1978.0,7.0,53.0,30.0,8.0,35.0,195.0,222.0,3.0,11.0,,10.0,23.0,3,0,,,0.0,0.0,
Oliver William,Skipp,23.0,England,175 cm,70 kg,Tottenham,Premier League,23,30,1736,,Midfielder,6.605000,0.0,6,5,2,4.0,3.0,1,0.0,1.0,,757.0,10.0,29.0,34.0,7.0,17.0,152.0,129.0,14.0,52.0,,17.0,65.0,7,0,,,0.0,0.0,
Joelinton Cássio,Apolinário de Lira,27.0,Brazil,186 cm,81 kg,Newcastle,Premier League,32,20,3133,,Attacker,7.037500,0.0,0,7,6,38.0,9.0,6,0.0,1.0,,1230.0,26.0,31.0,70.0,3.0,48.0,474.0,150.0,94.0,14.0,,34.0,38.0,12,0,,,0.0,0.0,
Emerson Aparecido,Leite de Souza Júnior,24.0,Brazil,181 cm,79 kg,Tottenham,Premier League,26,35,1885,,Defender,7.140000,0.0,10,19,0,13.0,35.0,2,0.0,5.0,,862.0,9.0,28.0,54.0,17.0,18.0,217.0,73.0,23.0,30.0,,33.0,21.0,2,1,,,0.0,0.0,
Pierre-Emile Kordt,Højbjerg,28.0,Denmark,187 cm,84 kg,Tottenham,Premier League,35,21,2735,,Midfielder,6.983870,0.0,0,9,10,24.0,8.0,4,0.0,5.0,,2256.0,30.0,57.0,57.0,,49.0,281.0,225.0,42.0,44.0,,31.0,45.0,5,0,,,3.0,0.0,
Callum Eddie Graham,Wilson,31.0,England,180 cm,66 kg,Newcastle,Premier League,32,32,528,,Attacker,7.165625,0.0,15,3,0,63.0,2.0,18,0.0,5.0,,235.0,23.0,5.0,9.0,4.0,1.0,195.0,30.0,31.0,2.0,,83.0,10.0,4,0,,,0.0,0.0,
Bruno,Guimarães Rodriguez Moura,26.0,Brazil,182 cm,74 kg,Newcastle,Premier League,14,4,1214,,Midfielder,6.472222,0.0,1,0,1,21.0,,4,24.0,,,1632.0,43.0,43.0,79.0,1.0,36.0,66.0,6.0,5.0,,,2.0,,7,0,,,0.0,0.0,2.0
Thomas,Davies,25.0,England,180 cm,70 kg,Everton,Premier League,11,2,250,,Goalkeeper,6.650000,0.0,9,1,9,7.0,1.0,0,0.0,,32.0,231.0,2.0,10.0,15.0,,4.0,6.0,18.0,,3.0,,5.0,6.0,3,0,,,0.0,0.0,
Fraser Gerard,Forster,35.0,England,201 cm,93 kg,Tottenham,Premier League,27,12,1270,,Attacker,6.540000,0.0,15,5,15,,9.0,0,0.0,,,291.0,2.0,14.0,1.0,5.0,,45.0,113.0,5.0,1.0,,30.0,26.0,1,0,,,0.0,0.0,
Antoine Serlom,Semenyo,23.0,Ghana,185 cm,79 kg,Bournemouth,Premier League,27,12,1270,,Attacker,6.647619,0.0,15,5,15,2.0,9.0,1,0.0,,,353.0,5.0,4.0,1.0,5.0,2.0,248.0,113.0,8.0,1.0,,30.0,26.0,0,0,,,0.0,0.0,
Kieffer Roberto Francisco,Moore,31.0,Wales,196 cm,89 kg,Bournemouth,Premier League,25,24,2185,,Defender,6.647619,0.0,1,1,1,22.0,2.0,4,0.0,1.0,,353.0,5.0,9.0,14.0,18.0,1.0,253.0,150.0,8.0,13.0,,12.0,42.0,1,0,,,0.0,0.0,
Cristian Gabriel,Romero,25.0,Argentina,185 cm,79 kg,Tottenham,Premier League,2,2,180,,Defender,6.937037,0.0,0,0,0,22.0,2.0,0,0.0,1.0,,1584.0,8.0,9.0,14.0,18.0,1.0,253.0,150.0,21.0,13.0,,12.0,42.0,1,0,,,0.0,0.0,
Pedro Antonio,Porro Sauceda,24.0,Spain,173 cm,69 kg,Tottenham,Premier League,15,13,1137,,Defender,6.937037,0.0,2,7,2,10.0,7.0,0,0.0,3.0,,1584.0,8.0,51.0,68.0,2.0,44.0,134.0,56.0,21.0,14.0,,16.0,12.0,0,0,,,0.0,0.0,
Cameron Desmond,Archer,22.0,England,181 cm,72 kg,Tottenham,Premier League,6,0,43,,Attacker,6.985714,0.0,6,0,6,10.0,,3,0.0,,,478.0,25.0,51.0,25.0,,44.0,7.0,2.0,37.0,1.0,,1.0,2.0,0,0,,,0.0,0.0,
Luke Jonathan,Thomas,22.0,England,181 cm,,Leicester,Premier League,17,11,1070,,Defender,6.240000,0.0,6,3,6,,,0,0.0,,,11.0,5.0,1.0,,4.0,,100.0,46.0,1.0,5.0,,7.0,11.0,0,0,,,0.0,0.0,
Brandon Anthony,Austin,24.0,England,188 cm,82 kg,Tottenham,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,2.0,,0,0.0,,,,,25.0,23.0,,,,,,,,,,3,0,,,0.0,0.0,1.0
Lewis,Miley,17.0,England,185 cm,,Newcastle,Premier League,1,0,15,,Midfielder,6.900000,0.0,1,0,1,1.0,,0,0.0,,,6.0,,5.0,,,,,,,,,,,0,0,,,0.0,0.0,
Ryan,Christie,28.0,Scotland,178 cm,79 kg,Bournemouth,Premier League,32,22,1841,,Midfielder,6.634375,0.0,2,17,10,18.0,9.0,1,0,,,613.0,30.0,16.0,34.0,4.0,26.0,299.0,132.0,79.0,37.0,,45.0,37.0,5,0,,,0,0,
Tyler Shaan,Adams,24.0,USA,173 cm,72 kg,Bournemouth,Premier League,36,24,2157,,Midfielder,7.004166,0.0,2,0,0,2.0,,0,0,1.0,,1323.0,26.0,45.0,89.0,8.0,35.0,249.0,142.0,19.0,7.0,,21.0,30.0,5,0,,,0,0,
